the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp
,,2022-03-07,3618,negative,2022-03-08 16:00:02
,,2021-07-20,99,positive,2022-03-08 16:00:02
,,2020-05-13,288,positive,2022-03-08 16:00:02
,,2021-11-24,7608,negative,2022-03-08 16:00:02
,,2020-09-19,3764,negative,2022-03-08 16:00:02
,,2021-03-10,312,positive,2022-03-08 16:00:02
,,2020-11-09,5217,negative,2022-03-08 16:00:02
,,2022-01-29,117,positive,2022-03-08 16:00:02
,,2020-07-15,177,positive,2022-03-08 16:00:02
,,2020-03-12,72,negative,2022-03-08 16:00:02
,,2021-09-20,10865,negative,2022-03-08 16:00:02
,,2020-12-18,8275,negative,2022-03-08 16:00:02
,,2021-05-06,274,positive,2022-03-08 16:00:02
,,2022-01-01,1978,negative,2022-03-08 16:00:02
,,2020-04-17,471,positive,2022-03-08 16:00:02
,,2020-08-12,4619,negative,2022-03-08 16:00:02
,,2021-08-15,212,positive,2022-03-08 16:00:02
,,2021-04-05,9947,negative,2022-03-08 16:00:02
,,2020-11-15,516,positive,2022-03-08 16:00:02
,,2021-10-11,279,positive,2022-03-08 16:00:02
,,2020-07-04,1501,negative,2022-03-08 16:00:02
,,2022-02-09,7762,negative,2022-03-08 16:00:02
,,2020-09-22,4019,negative,2022-03-08 16:00:02
,,2021-07-23,131,positive,2022-03-08 16:00:02
,,2021-11-21,2795,negative,2022-03-08 16:00:02
,,2020-05-10,78,positive,2022-03-08 16:00:02
,,2020-10-19,4414,negative,2022-03-08 16:00:02
,,2021-02-27,183,positive,2022-03-08 16:00:02
,,2020-10-10,136,positive,2022-03-08 16:00:02
,,2021-11-03,244,positive,2022-03-08 16:00:02
,,2020-05-24,1549,negative,2022-03-08 16:00:02
,,2021-07-09,2929,negative,2022-03-08 16:00:02
,,2020-11-01,4915,negative,2022-03-08 16:00:02
,,2021-03-18,477,positive,2022-03-08 16:00:02
,,2020-09-01,161,positive,2022-03-08 16:00:02
,,2021-12-12,316,positive,2022-03-08 16:00:02
,,2020-04-29,1660,negative,2022-03-08 16:00:02
,,2021-08-03,4198,negative,2022-03-08 16:00:02
,,2020-12-11,941,positive,2022-03-08 16:00:02
,,2021-04-11,3753,negative,2022-03-08 16:00:02
,,2021-04-27,11458,negative,2022-03-08 16:00:02
,,2020-12-27,308,positive,2022-03-08 16:00:02
,,2021-08-28,286,positive,2022-03-08 16:00:02
,,2021-12-19,3661,negative,2022-03-08 16:00:02
,,2020-08-25,3524,negative,2022-03-08 16:00:02
,,2020-04-04,307,positive,2022-03-08 16:00:02
,,2021-03-25,9523,negative,2022-03-08 16:00:02
,,2020-11-26,296,positive,2022-03-08 16:00:02
,,2022-02-18,101,positive,2022-03-08 16:00:02
,,2020-06-25,152,positive,2022-03-08 16:00:02
,,2021-10-02,3120,negative,2022-03-08 16:00:02
,,2021-06-19,23,positive,2022-03-08 16:00:02
,,2021-02-08,7754,negative,2022-03-08 16:00:02
,,2021-07-01,2921,negative,2022-03-08 16:00:02
,,2020-10-02,150,positive,2022-03-08 16:00:02
,,2020-06-01,1586,negative,2022-03-08 16:00:02
,,2021-11-11,278,positive,2022-03-08 16:00:02
,,2020-10-19,278,positive,2022-03-08 16:00:02
,,2021-02-27,5511,negative,2022-03-08 16:00:02
,,2021-05-25,9624,negative,2022-03-08 16:00:02
,,2021-02-01,138,positive,2022-03-08 16:00:02
,,2020-07-22,3975,negative,2022-03-08 16:00:02
,,2022-01-22,3941,negative,2022-03-08 16:00:02
,,2021-09-27,291,positive,2022-03-08 16:00:02
,,2020-08-10,160,positive,2022-03-08 16:00:02
,,2021-08-13,3796,negative,2022-03-08 16:00:02
,,2020-04-19,586,negative,2022-03-08 16:00:02
,,2022-01-03,5367,positive,2022-03-08 16:00:02
